raw_column,standard_name,type,notes
GOLD Math Spring K-Readiness,gold_math_spring_kready,gold,Emerging/Accomplished
GOLD Social-Emotional Fall Raw Score,gold_se_fall_raw,gold,Numeric
GOLD Social-Emotional Fall Scale Score,gold_se_fall_scale,gold,Numeric
GOLD Social-Emotional Fall WHE Status,gold_se_fall_whe,gold,Below/Meet/Exceed
GOLD Social-Emotional Fall NN Status,gold_se_fall_nn,gold,Below/Meet/Exceed
GOLD Social-Emotional Fall K-Readiness,gold_se_fall_kready,gold,Emerging/Accomplished
GOLD Social-Emotional Spring Raw Score,gold_se_spring_raw,gold,Numeric
GOLD Social-Emotional Spring Scale Score,gold_se_spring_scale,gold,Numeric
GOLD Social-Emotional Spring WHE Status,gold_se_spring_whe,gold,Below/Meet/Exceed
GOLD Social-Emotional Spring NN Status,gold_se_spring_nn,gold,Below/Meet/Exceed
GOLD Social-Emotional Spring K-Readiness,gold_se_spring_kready,gold,Emerging/Accomplished
GOLD Physical Fall Raw Score,gold_physical_fall_raw,gold,Numeric
GOLD Physical Fall Scale Score,gold_physical_fall_scale,gold,Numeric
GOLD Physical Fall WHE Status,gold_physical_fall_whe,gold,Below/Meet/Exceed
GOLD Physical Fall NN Status,gold_physical_fall_nn,gold,Below/Meet/Exceed
GOLD Physical Fall K-Readiness,gold_physical_fall_kready,gold,Emerging/Accomplished
GOLD Physical Spring Raw Score,gold_physical_spring_raw,gold,Numeric
GOLD Physical Spring Scale Score,gold_physical_spring_scale,gold,Numeric
GOLD Physical Spring WHE Status,gold_physical_spring_whe,gold,Below/Meet/Exceed
GOLD Physical Spring NN Status,gold_physical_spring_nn,gold,Below/Meet/Exceed
GOLD Physical Spring K-Readiness,gold_physical_spring_kready,gold,Emerging/Accomplished
GOLD Cognitive Fall Raw Score,gold_cognitive_fall_raw,gold,Numeric
GOLD Cognitive Fall Scale Score,gold_cognitive_fall_scale,gold,Numeric
GOLD Cognitive Fall WHE Status,gold_cognitive_fall_whe,gold,Below/Meet/Exceed
GOLD Cognitive Fall NN Status,gold_cognitive_fall_nn,gold,Below/Meet/Exceed
GOLD Cognitive Fall K-Readiness,gold_cognitive_fall_kready,gold,Emerging/Accomplished
GOLD Cognitive Spring Raw Score,gold_cognitive_spring_raw,gold,Numeric
GOLD Cognitive Spring Scale Score,gold_cognitive_spring_scale,gold,Numeric
GOLD Cognitive Spring WHE Status,gold_cognitive_spring_whe,gold,Below/Meet/Exceed
GOLD Cognitive Spring NN Status,gold_cognitive_spring_nn,gold,Below/Meet/Exceed
GOLD Cognitive Spring K-Readiness,gold_cognitive_spring_kready,gold,Emerging/Accomplished
GOLD Language Fall Raw Score,gold_language_fall_raw,gold,Numeric
GOLD Language Fall Scale Score,gold_language_fall_scale,gold,Numeric
GOLD Language Fall WHE Status,gold_language_fall_whe,gold,Below/Meet/Exceed
GOLD Language Fall NN Status,gold_language_fall_nn,gold,Below/Meet/Exceed
GOLD Language Fall K-Readiness,gold_language_fall_kready,gold,Emerging/Accomplished
GOLD Language Spring Raw Score,gold_language_spring_raw,gold,Numeric
GOLD Language Spring Scale Score,gold_language_spring_scale,gold,Numeric
GOLD Language Spring WHE Status,gold_language_spring_whe,gold,Below/Meet/Exceed
GOLD Language Spring NN Status,gold_language_spring_nn,gold,Below/Meet/Exceed
GOLD Language Spring K-Readiness,gold_language_spring_kready,gold,Emerging/Accomplished
PPVT Fall Standard Score,ppvt_fall_standard,ppvt,Numeric
PPVT Spring Standard Score,ppvt_spring_standard,ppvt,Numeric
PPVT Fall Percentile Rank,ppvt_fall_percentile,ppvt,Numeric
PPVT Spring Percentile Rank,ppvt_spring_percentile,ppvt,Numeric
PPVT Fall Stanine,ppvt_fall_stanine,ppvt,Numeric
PPVT Spring Stanine,ppvt_spring_stanine,ppvt,Numeric
PPVT Fall GSV,ppvt_fall_gsv,ppvt,Numeric
PPVT Spring GSV,ppvt_spring_gsv,ppvt,Numeric
PPVT Category,ppvt_category,ppvt,Text
eDECA Entry Date (Pre),edeca_pre_entry_date,edeca_pre,Date
eDECA Rater Type (Pre),edeca_pre_rater_type,edeca_pre,T/P
eDECA Rater Description (Pre),edeca_pre_rater_desc,edeca_pre,Text
eDECA Rating Status (Pre),edeca_pre_rating_status,edeca_pre,Text
eDECA Rating Date (Pre),edeca_pre_rating_date,edeca_pre,Date
eDECA Rating Period (Pre),edeca_pre_rating_period,edeca_pre,Text
eDECA Initiative Raw Score (Pre),edeca_pre_initiative_raw,edeca_pre,Numeric
eDECA Initiative TScore (Pre),edeca_pre_initiative_tscore,edeca_pre,Numeric
eDECA Initiative Percentile (Pre),edeca_pre_initiative_pctile,edeca_pre,Numeric
eDECA Initiative Description (Pre),edeca_pre_initiative_desc,edeca_pre,Text
eDECA Self Regulation Raw Score (Pre),edeca_pre_self_reg_raw,edeca_pre,Numeric
eDECA Self Regulation TScore (Pre),edeca_pre_self_reg_tscore,edeca_pre,Numeric
eDECA Self Regulation Percentile (Pre),edeca_pre_self_reg_pctile,edeca_pre,Numeric
eDECA Self Regulation Description (Pre),edeca_pre_self_reg_desc,edeca_pre,Text
eDECA Attachment Raw Score (Pre),edeca_pre_attachment_raw,edeca_pre,Numeric
eDECA Attachment TScore (Pre),edeca_pre_attachment_tscore,edeca_pre,Numeric
eDECA Attachment Percentile (Pre),edeca_pre_attachment_pctile,edeca_pre,Numeric
eDECA Attachment Description (Pre),edeca_pre_attachment_desc,edeca_pre,Text
eDECA Total Protective Factors Raw Score (Pre),edeca_pre_tpf_raw,edeca_pre,Numeric
eDECA Total Protective Factors TScore (Pre),edeca_pre_tpf_tscore,edeca_pre,Numeric
eDECA Total Protective Factors Percentile (Pre),edeca_pre_tpf_pctile,edeca_pre,Numeric
eDECA Total Protective Factors Description (Pre),edeca_pre_tpf_desc,edeca_pre,Text
eDECA Behavior Concerns Raw Score (Pre),edeca_pre_behavior_raw,edeca_pre,Numeric
eDECA Behavior Concerns TScore (Pre),edeca_pre_behavior_tscore,edeca_pre,Numeric
eDECA Behavior Concerns Percentile (Pre),edeca_pre_behavior_pctile,edeca_pre,Numeric
eDECA Behavior Concerns Description (Pre),edeca_pre_behavior_desc,edeca_pre,Text
eDECA Entry Date (Post),edeca_post_entry_date,edeca_post,Date
eDECA Rater Type (Post),edeca_post_rater_type,edeca_post,T/P
eDECA Rater Description (Post),edeca_post_rater_desc,edeca_post,Text
eDECA Rating Status (Post),edeca_post_rating_status,edeca_post,Text
eDECA Rating Date (Post),edeca_post_rating_date,edeca_post,Date
eDECA Rating Period (Post),edeca_post_rating_period,edeca_post,Text
eDECA Initiative Raw Score (Post),edeca_post_initiative_raw,edeca_post,Numeric
eDECA Initiative TScore (Post),edeca_post_initiative_tscore,edeca_post,Numeric
eDECA Initiative Percentile (Post),edeca_post_initiative_pctile,edeca_post,Numeric
eDECA Initiative Description (Post),edeca_post_initiative_desc,edeca_post,Text
eDECA Self Regulation Raw Score (Post),edeca_post_self_reg_raw,edeca_post,Numeric
eDECA Self Regulation TScore (Post),edeca_post_self_reg_tscore,edeca_post,Numeric
eDECA Self Regulation Percentile (Post),edeca_post_self_reg_pctile,edeca_post,Numeric
eDECA Self Regulation Description (Post),edeca_post_self_reg_desc,edeca_post,Text
eDECA Attachment Raw Score (Post),edeca_post_attachment_raw,edeca_post,Numeric
eDECA Attachment TScore (Post),edeca_post_attachment_tscore,edeca_post,Numeric
eDECA Attachment Percentile (Post),edeca_post_attachment_pctile,edeca_post,Numeric
eDECA Attachment Description (Post),edeca_post_attachment_desc,edeca_post,Text
eDECA Total Protective Factors Raw Score (Post),edeca_post_tpf_raw,edeca_post,Numeric
eDECA Total Protective Factors TScore (Post),edeca_post_tpf_tscore,edeca_post,Numeric
eDECA Total Protective Factors Percentile (Post),edeca_post_tpf_pctile,edeca_post,Numeric
eDECA Total Protective Factors Desc (Post),edeca_post_tpf_desc,edeca_post,Text - truncated name in raw data
eDECA Behavior Concerns Raw Score (Post),edeca_post_behavior_raw,edeca_post,Numeric
eDECA Behavior Concerns TScore (Post),edeca_post_behavior_tscore,edeca_post,Numeric
eDECA Behavior Concerns Percentile (Post),edeca_post_behavior_pctile,edeca_post,Numeric
eDECA Behavior Concerns Description (Post),edeca_post_behavior_desc,edeca_post,Text
ASQ ID,asq_id,asq,Text
ASQ Provider,asq_provider,asq,Text
ASQ Interval,asq_interval,asq,Text
ASQ Type,asq_type,asq,Text
ASQ Screening Date,asq_screening_date,asq,Date
ASQ Entry Date,asq_entry_date,asq,Date
ASQ Completed By,asq_completed_by,asq,Text
ASQ Communication Results,asq_comm_results,asq,Below/Monitoring/Above
ASQ Gross Motor Results,asq_gross_motor_results,asq,Below/Monitoring/Above
ASQ Fine Motor Results,asq_fine_motor_results,asq,Below/Monitoring/Above
ASQ Problem Solving Results,asq_prob_solving_results,asq,Below/Monitoring/Above
ASQ Personal Social Results,asq_personal_social_results,asq,Below/Monitoring/Above
ASQ Overall Concern Count,asq_concern_count,asq,Numeric
ASQ Overall No Concern Count,asq_no_concern_count,asq,Numeric
